index,training_iteration,mean_loss,mean_reward_target_window,epsilon,episode_mean_reward,makespan,cost,deadline_success_rate,budget_success_rate,both_success_rate
1,100,0.11255197305232287,tensor(0.4149),0.9517171302557069,0.3348063826560974,335052.3461905134,11.565999999999999,5.4285203305292535,0.09747998314369995,0
2,200,0.09909114547073841,tensor(0.4574),0.9057890438555999,0.5341507196426392,727758.2546877629,5.980400000000002,107.04594130047582,0.2370352754657155,0
3,300,0.09750663578510284,tensor(0.4458),0.8621008966608072,0.5960264801979065,858402.7654924514,9.923499999999999,131.86842165382674,3.15031746031746,0
4,400,0.09617322441190482,tensor(0.4459),0.820543445547202,0.6880502104759216,879970.4168674698,80.76209999999998,5.28850463927111,0.05882163146394754,0
5,500,0.09272673569619655,tensor(0.4885),0.7810127752406908,0.7805320024490356,887880.6666666669,151.93590000000006,5.253236272665565,0.07665129630657312,0
6,600,0.09222908973693848,tensor(0.3251),0.7434100384749007,0.8058781027793884,892312.5525486562,25.761899999999983,105.0847629294549,0.6471213262999241,0
7,700,0.09147482395172118,tensor(0.2318),0.7076412088215263,0.7773605585098267,1000529.0,51.65499999999996,19.143230839817225,0.26742079105404826,0
8,800,0.09785233929753304,tensor(0.2223),0.6736168455752829,0.82476806640625,1004965.3516588279,35.35629999999998,86.07272596658103,0.2176978018594913,0
9,900,0.10357209503650665,tensor(0.1848),0.6412518701055556,0.8396371006965637,1020652.1533010546,56.71529999999994,82.71201088678326,1.0425606617647047,0
10,1000,0.1049484684690833,tensor(0.1830),0.6104653531155071,0.8663671612739563,1166194.841025641,284.2899000000001,7.040690936363156,0.0774978191889564,0
11,1100,0.10845565341413022,tensor(0.2611),0.5811803122766818,0.8945654034614563,108603.4,15.510100000000001,1.76206820742755,0.10600847515549178,0
12,1200,0.10754797250032425,tensor(0.4037),0.5533235197330862,0.8391218781471252,109490.59999999999,18.532799999999995,12.706392154086645,0.1396488584130811,0
13,1300,0.11688725076615811,tensor(0.5504),0.5268253189934059,0.8296760320663452,142522.40459811935,14.589799999999999,20.76063827807298,0.7711310782241013,0
14,1400,0.11530287064611912,tensor(0.6822),0.5016194507534953,0.8528708815574646,219260.8666666667,25.6304,3.7638591414271727,0.8126315789473685,0
15,1500,0.12293750561773777,tensor(0.6125),0.47764288721360454,0.8624570369720459,262366.4726879605,33.385299999999994,4.640353573059455,0.2423263410031211,0
16,1600,0.12572478748857974,tensor(0.7096),0.45483567447604933,0.9047454595565796,273161.60808216134,20.3727,5.352034021191731,0.24727151353319576,0
17,1700,0.14330321826040746,tensor(0.6368),0.43314078262923944,0.8237176537513733,273581.8392523365,67.6908,1.7436937751438977,0.1892178677251635,0
18,1800,0.16392330579459669,tensor(0.5807),0.4125039631431931,0.8761066794395447,277234.7720111215,15.049699999999993,32.74177655136301,0.3272385301152423,0
19,1900,0.15806189253926278,tensor(0.3628),0.3928736132199562,0.871666669845581,490541.36413296417,137.0880999999999,2.98364766933488,0.087053328761208,0
20,2000,0.16434371359646321,tensor(0.3022),0.3742006467597279,0.8301784992218018,500842.1646601629,33.71359999999997,36.36432157789303,1.239470588235293,0
21,2100,0.17370328418910502,tensor(0.4617),0.35643837162004377,0.8751561641693115,60030.00373503982,64.27629999999999,0.37378231210304197,0.3200373431587333,1
22,2200,0.19104431577026845,tensor(0.5720),0.3395423728610988,0.831651508808136,105997.63019756955,27.9315,11.780970217660464,0.35076604294863745,0
23,2300,0.17395654946565628,tensor(0.5784),0.32347040168526264,0.8754428625106812,185383.12307692308,36.93499999999999,3.4204171937723378,0.09918365154810814,0
24,2400,0.1839141995459795,tensor(0.6276),0.3081822697930801,0.9295483231544495,258363.19079499436,72.35779999999997,1.5515820542317613,0.4956353174874989,0
25,2500,0.18750769436359405,tensor(0.7021),0.29363974889158817,0.8769051432609558,266768.0472052507,61.641400000000004,1.7410558837230266,0.07190597841936425,0
26,2600,0.18182813987135887,tensor(0.6993),0.27980647510367246,0.8643399477005005,266852.76979481825,44.82179999999997,21.70309320113587,0.20698129762179618,0
27,2700,0.17792226731777191,tensor(0.7183),0.2666478580394326,0.8270862102508545,268301.99320463283,33.38619999999999,19.208910434351036,0.12215506201748925,0
28,2800,0.19255370035767555,tensor(0.6926),0.2541309943021904,0.8292224407196045,320871.1452579549,74.26319999999998,1.9472577957423551,0.1471986680145091,0
29,2900,0.1741380774974823,tensor(0.7946),0.2422245852128597,0.8406928181648254,328413.3060240964,33.3863,37.43851861921945,0.3593789020452099,0
30,3000,0.17197282165288924,tensor(0.5641),0.23089885854694553,0.8585938215255737,407621.1230769231,266.03990000000016,2.467831898482453,0.32897230122418714,0
