x,raw_reward,cleaned_reward,smoothed_reward
1.0,0.3348063826560974,0.3348063826560974,0.4839399279956531
2.0,0.4342287462158012,0.4342287462158012,0.48917268397247965
3.0,0.533651109775505,0.533651109775505,0.49549698534667086
4.0,0.5648559842790876,0.5648559842790876,0.5027979326027148
5.0,0.5957163260096595,0.5957163260096595,0.5125788161192353
6.0,0.6414617555482046,0.6414617555482046,0.5261454413222847
7.0,0.6873583027294704,0.6873583027294704,0.5431152162072516
8.0,0.7334798626732407,0.7334798626732407,0.5631536000457767
9.0,0.7796048666899067,0.7796048666899067,0.5859379439030536
10.0,0.7929191943398095,0.7929191943398095,0.606323935775354
11.0,0.8055604824744967,0.8055604824744967,0.6258700930227659
12.0,0.7920124296257669,0.7920124296257669,0.6434542089508757
13.0,0.7777893937620005,0.7777893937620005,0.6599634511347647
14.0,0.8002920096978209,0.8002920096978209,0.6752894544336839
15.0,0.8239363557414005,0.8239363557414005,0.6909364966766015
16.0,0.831923090425649,0.831923090425649,0.7057771907554486
17.0,0.8393389746957555,0.8393389746957555,0.7198363259070598
18.0,0.8524326936045385,0.8524326936045385,0.7337938382962681
19.0,0.8657642275767219,0.8657642275767219,0.7476854582205263
20.0,0.8797948956489563,0.8797948956489563,0.7601148023632838
21.0,0.8938586805996142,0.8938586805996142,0.7712357944910142
22.0,0.8683026809441416,0.8683026809441416,0.7811861558684572
23.0,0.8406503963888737,0.8406503963888737,0.7874455496074484
24.0,0.8346712038032991,0.8346712038032991,0.7930460597949669
25.0,0.8299601176627597,0.8299601176627597,0.7980570425943255
26.0,0.8405468011260929,0.8405468011260929,0.8025405535200675
27.0,0.8521151596442201,0.8521151596442201,0.8077589331120836
28.0,0.8573396156605024,0.8573396156605024,0.8129779523277066
29.0,0.8621206806417097,0.8621206806417097,0.8181508710976017
30.0,0.8820644509523434,0.8820644509523434,0.8227792721022446
31.0,0.9031556692338527,0.9031556692338527,0.8269204730011356
32.0,0.8673792533707203,0.8673792533707203,0.8311792919874077
