index,training_iteration,mean_loss,mean_reward_target_window,epsilon,episode_mean_reward,makespan,cost,deadline_success_rate,budget_success_rate,both_success_rate,loss_outlier_removed,loss_smoothed,estimated_episode_1_200
1,100,0.1125519730523228,tensor(0.4149),0.9517171302557068,0.3348063826560974,335052.3461905134,11.566,5.4285203305292535,0.0974799831436999,0.0,0.1125519730523228,0.0990911454707384,1.0
2,200,0.0990911454707384,tensor(0.4574),0.9057890438556,0.5341507196426392,727758.2546877629,5.980400000000002,107.04594130047582,0.2370352754657155,0.0,0.0990911454707384,0.09914646583574789,1.0855546001719691
3,300,0.0975066357851028,tensor(0.4458),0.8621008966608072,0.5960264801979065,858402.7654924514,9.9235,131.86842165382674,3.15031746031746,0.0,0.0975066357851028,0.09925574063082836,1.171109200343938
4,400,0.0961732244119048,tensor(0.4459),0.820543445547202,0.6880502104759216,879970.4168674698,80.76209999999998,5.28850463927111,0.0588216314639475,0.0,0.0961732244119048,0.09937930954742012,1.2566638005159072
5,500,0.0927267356961965,tensor(0.4885),0.7810127752406908,0.7805320024490356,887880.6666666669,151.93590000000006,5.253236272665565,0.0766512963065731,0.0,0.0927267356961965,0.09951681964425131,1.3422184006878761
6,600,0.0922290897369384,tensor(0.3251),0.7434100384749007,0.8058781027793884,892312.5525486562,25.761899999999983,105.0847629294549,0.6471213262999241,0.0,0.0922290897369384,0.09968302707241063,1.4277730008598453
7,700,0.0914748239517211,tensor(0.2318),0.7076412088215263,0.7773605585098267,1000529.0,51.65499999999996,19.143230839817225,0.2674207910540482,0.0,0.0914748239517211,0.09987722325581591,1.5133276010318144
8,800,0.097852339297533,tensor(0.2223),0.6736168455752829,0.82476806640625,1004965.351658828,35.35629999999998,86.07272596658103,0.2176978018594913,0.0,0.097852339297533,0.10007783040893718,1.5988822012037833
9,900,0.1035720950365066,tensor(0.1848),0.6412518701055556,0.8396371006965637,1020652.1533010546,56.71529999999994,82.71201088678326,1.0425606617647047,0.0,0.1035720950365066,0.1002846902362259,1.6844368013757522
10,1000,0.1049484684690833,tensor(0.1830),0.6104653531155071,0.8663671612739563,1166194.841025641,284.2899000000001,7.040690936363156,0.0774978191889564,0.0,0.1049484684690833,0.10053701426084319,1.7699914015477214
11,1100,0.1084556534141302,tensor(0.2611),0.5811803122766818,0.8945654034614563,108603.4,15.5101,1.76206820742755,0.1060084751554917,0.0,0.1084556534141302,0.10083367991001552,1.8555460017196905
12,1200,0.1075479725003242,tensor(0.4037),0.5533235197330862,0.8391218781471252,109490.6,18.532799999999995,12.706392154086643,0.1396488584130811,0.0,0.1075479725003242,0.10115698218011934,1.9411006018916594
13,1300,0.1168872507661581,tensor(0.5504),0.5268253189934059,0.8296760320663452,142522.40459811935,14.5898,20.76063827807298,0.7711310782241013,0.0,0.1168872507661581,0.10150626337681071,2.026655202063629
14,1400,0.1153028706461191,tensor(0.6822),0.5016194507534953,0.8528708815574646,219260.8666666667,25.6304,3.7638591414271727,0.8126315789473685,0.0,0.1153028706461191,0.10188604084321436,2.1122098022355975
15,1500,0.1229375056177377,tensor(0.6125),0.4776428872136045,0.8624570369720459,262366.4726879605,33.385299999999994,4.640353573059455,0.2423263410031211,0.0,0.1229375056177377,0.10240583009690629,2.1977644024075667
16,1600,0.1257247874885797,tensor(0.7096),0.4548356744760493,0.9047454595565796,273161.60808216134,20.3727,5.352034021191731,0.2472715135331957,0.0,0.1257247874885797,0.10298160682262662,2.2833190025795354
17,1700,0.1433032182604074,tensor(0.6368),0.4331407826292394,0.8237176537513733,273581.8392523365,67.6908,1.7436937751438977,0.1892178677251635,0.0,,0.10354920911433249,2.3688736027515045
